Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Napoleon at the Berezina,5.542,6.68,78,N/A,2003,3.18,1,2,300,300,12,Wargames,N/A
Outer Earth,5.542,6.62,79,N/A,2013,2.20,2,4,60,60,13,N/A,N/A
Twisty Tracks,5.542,6.9,59,N/A,2023,2.00,1,4,15,30,8,N/A,N/A
Attangle,5.542,6.94,62,N/A,2006,2.80,2,2,45,45,8,Abstract,N/A
Linkee 3,5.542,6.55,94,N/A,2018,1.00,2,30,N/A,N/A,14,N/A,N/A
Tesseract,5.542,6.31,125,N/A,2015,2.00,2,4,20,30,8,N/A,N/A
Sports Dice: Baseball,5.542,6.63,87,12.84,2016,1.00,2,4,10,20,7,N/A,N/A
Arvuutin,5.542,6.83,66,N/A,2010,1.67,2,8,30,30,8,Family,N/A
Alice in Wordland,5.541,6.28,122,N/A,2019,1.67,3,8,10,25,8,N/A,N/A
Olympicards,5.541,6.09,149,N/A,2012,1.29,2,7,20,20,6,N/A,N/A
Clash of Decks: Treachery,5.541,7.66,44,N/A,2022,2.00,1,2,30,8,15,N/A,N/A
Burgenland,5.541,6.07,164,N/A,2014,2.20,2,4,45,45,8,N/A,N/A
Cascadero,5.541,7.41,44,N/A,2024,0.00,2,4,45,60,14,N/A,N/A
Give Me Five,5.541,6.52,90,N/A,2013,1.00,4,9,15,15,12,Party,N/A
One Page War,5.541,7.52,46,N/A,2023,2.00,1,10,15,30,7,N/A,N/A
Voldétour,5.541,7.19,52,N/A,2012,0.00,2,2,30,30,9,Abstract,N/A
Red HINT,5.541,6.77,73,N/A,2017,1.00,4,10,45,45,15,N/A,N/A
Lock 'n Load Tactical: Starter Kit,5.541,7.8,43,N/A,2017,4.00,1,2,30,90,14,Wargames,N/A
Strategy I: Strategic Warfare 350BC to 1984,5.541,6.51,105,N/A,1971,3.38,2,8,360,360,14,Wargames,N/A
Highlander: The Card Game,5.541,6.25,151,N/A,1996,2.20,2,2,20,20,12,Customizable,N/A
La Der des Ders,5.541,7.07,60,N/A,2019,2.00,1,2,60,90,10,Wargames,N/A
Arcole 1796,5.541,7.42,46,N/A,2016,2.67,2,2,N/A,N/A,N/A,Wargames,N/A
"Clash of Titans: The Tank Battle for Kursk, 1943",5.541,6.97,62,N/A,1998,2.67,1,2,180,180,N/A,Wargames,N/A
Friedland 1807,5.541,7.97,40,N/A,2007,2.90,N/A,N/A,N/A,N/A,N/A,Wargames,N/A
Wrathborne Champions,5.541,7.06,70,N/A,2019,2.14,2,6,30,180,13,N/A,N/A
IRONDIE,5.541,6.33,114,N/A,2010,2.13,2,2,15,15,13,Customizable,N/A
Reinforce the Right!,5.541,6.85,67,N/A,1996,2.79,1,2,180,180,12,Wargames,N/A
Kharkov Battles: Before & After Fall Blau,5.541,7.96,42,N/A,2021,2.71,2,2,90,4800,N/A,Wargames,N/A
Die Seher von Santiiba,5.541,6.87,63,N/A,2020,2.00,2,4,30,45,8,N/A,N/A
"Ignorant Armies: The Iran-Iraq War, 1980-88",5.541,6.74,74,N/A,2003,2.55,1,2,240,240,12,Wargames,N/A
Saga: The Crescent and The Cross,5.541,8.13,34,N/A,2014,2.67,2,4,90,90,N/A,Wargames,N/A
800 Heroes: Defense of Sihang Warehouse,5.541,6.83,67,N/A,2009,1.70,1,2,30,30,10,Wargames,N/A
ElfBall,5.541,7.26,68,N/A,2007,2.88,2,2,75,75,N/A,Strategy,N/A
Schlag den Raab: Das 2. Spiel,5.541,6.34,105,N/A,2011,1.43,2,6,45,45,14,N/A,N/A
Ubongo: Das Kartenspiel,5.541,5.98,201,N/A,2011,1.08,2,4,20,20,8,N/A,N/A
The Campaigns of Robert E. Lee,5.541,6.61,97,N/A,1988,3.84,2,2,240,240,N/A,Wargames,N/A
5150,5.541,7.27,51,N/A,2006,2.55,2,4,120,120,12,Wargames,N/A
BrikWars,5.541,8.13,60,N/A,1995,2.69,2,8,180,180,10,Wargames,N/A
Strange Aeons,5.541,8.2,43,N/A,2009,2.50,2,2,45,45,N/A,Thematic,Wargames
Spy Alley,5.541,5.7,1199,39.99,1992,1.52,2,6,45,45,8,Family,N/A
Mediterráneo,5.541,7.79,59,N/A,2022,2.20,2,2,15,30,8,N/A,N/A
Queen Bee,5.541,8.12,72,N/A,2020,2.00,2,6,30,90,10,N/A,N/A
Expedite,5.541,7.17,78,N/A,2012,1.86,2,4,30,30,14,Strategy,N/A
Pucket,5.541,6.42,111,N/A,2011,1.00,2,2,N/A,N/A,N/A,N/A,N/A
Kneipenquiz: Family & Friends Spezial,5.541,7.19,50,N/A,2021,0.00,3,6,30,30,12,N/A,N/A
Provincia Romana,5.541,6.02,200,26.62,2014,2.47,2,6,90,90,13,Strategy,N/A
Exploding Kittens: 2-Player Version,5.541,6.5,141,N/A,2022,1.00,2,2,20,20,7,N/A,N/A
Pencil Park,5.541,6.8,71,N/A,2017,1.83,1,10,15,20,14,N/A,N/A
The Thin Red Line: A Game of the Battle of Waterloo,5.541,6.66,86,N/A,1979,2.75,2,3,180,180,N/A,Wargames,N/A
Hoax,5.541,5.94,227,N/A,1981,1.35,3,12,45,45,10,Party,Strategy
Knights of the Air,5.541,6.13,241,N/A,1987,3.48,1,6,30,150,12,Wargames,N/A
Adlung Land,5.541,5.89,225,N/A,2010,1.79,2,4,45,45,10,Family,N/A
Sindbad,5.541,6.12,164,N/A,1990,1.53,2,5,60,60,10,Family,Thematic
Navíos de Línea: Trafalgar 1805,5.541,8.07,39,N/A,2016,3.00,2,60,120,240,14,Wargames,N/A
Professor Pünschge,5.541,6.1,151,N/A,2008,2.36,2,7,30,30,12,N/A,N/A
Town 77,5.541,6.6,81,N/A,2023,1.00,1,5,15,15,9,N/A,N/A
Aliens Predator,5.541,6.13,203,N/A,1997,2.29,2,3,45,45,12,Customizable,N/A
Chef Umami,5.541,7.23,64,N/A,2020,1.86,2,4,20,35,8,N/A,N/A
Space Vermin from Beyond!,5.541,7.46,47,N/A,2016,2.17,1,2,60,120,12,Wargames,N/A
Veleno,5.541,6.47,89,N/A,1986,1.14,2,4,15,15,10,Abstract,N/A
18SJ: Railways in the Frozen North,5.541,6.85,64,N/A,2021,4.17,2,6,120,300,14,N/A,N/A
APBA Professional Golf,5.541,7.09,54,N/A,1962,1.67,1,4,120,120,10,N/A,N/A
Keops,5.541,7.54,64,N/A,2023,4.08,1,4,75,180,14,N/A,N/A
Prelude to Revolution: Russia's Descent into Anarchy 1905 - 1917,5.541,8.32,30,N/A,2023,2.67,2,2,120,180,12,Strategy,Wargames
Clocks,5.541,6.27,160,N/A,2012,1.79,1,4,30,30,8,Family,N/A
"Yalu: The Chinese Counteroffensive in Korea, November 1950 to May 1951",5.541,7.06,58,N/A,1977,3.09,2,2,180,180,12,Wargames,N/A
Akron,5.541,7.17,56,N/A,2002,3.14,2,2,30,30,7,Abstract,N/A
"Alexandria, 1801",5.541,7.38,55,N/A,1996,3.00,2,2,240,240,12,Wargames,N/A
Turtle Race Mini,5.541,6.46,106,N/A,2019,1.17,2,5,15,15,5,Family,N/A
Nova Lux,5.541,7.17,89,N/A,2021,2.40,1,6,45,90,14,N/A,N/A
The Adventure Zone: Bureau of Balance Game,5.541,7.61,190,39.49,2020,1.71,2,5,60,90,12,N/A,N/A
414 BC: Siege of Syracuse,5.541,7.2,64,N/A,2022,2.10,1,2,60,60,14,Wargames,N/A
Sebastian Fitzek Killercruise: Das Würfelspiel,5.541,6.9,63,N/A,2023,2.00,1,4,30,30,12,N/A,N/A
Chiefdom,5.541,7.67,47,N/A,2021,2.40,1,6,30,30,8,N/A,N/A
Fortress Europa: Designer Signature Edition,5.541,7.9,44,N/A,2019,2.80,1,2,120,240,12,Wargames,N/A
BiberClan,5.541,6.12,161,N/A,2018,1.00,2,6,20,20,7,N/A,N/A
Interplay,5.541,6.41,114,N/A,1980,2.00,2,2,20,20,8,Abstract,N/A
Xenofera,5.541,7.22,63,N/A,2017,2.50,2,5,60,60,14,N/A,N/A
Devil Boats: PT Boats in the Solomons,5.541,7.01,102,N/A,2021,2.67,1,1,15,60,14,Wargames,N/A
Office 21,5.541,6.05,166,N/A,2013,1.45,2,5,10,10,8,N/A,N/A
Destroyer Captain,5.541,7.51,45,N/A,1979,3.00,2,6,90,90,12,Wargames,N/A
Jack The Ripper,5.541,6.9,66,N/A,1983,2.44,2,2,120,120,12,N/A,N/A
The von Reisswitz Kriegsspiel: The Prussian Army Wargame,5.541,8.18,38,N/A,1824,3.70,2,99,300,300,12,Wargames,N/A
Drizzit: il gioco di carte,5.541,6.46,107,N/A,2014,2.00,1,5,20,20,8,Party,Thematic
"The Rhineland War, 1936-37",5.541,7.45,43,N/A,2011,3.25,1,2,240,240,12,Wargames,N/A
Soldier's Companion,5.541,7.3,47,N/A,1989,3.00,2,2,120,120,12,Wargames,N/A
Savage Worlds Showdown: Miniatures Rules for All Genres,5.541,8.04,40,N/A,2004,2.30,2,10,180,300,12,Wargames,N/A
The War: Europe 1939-1945,5.541,7.25,76,149.99,2012,4.00,2,5,1080,1080,N/A,Wargames,N/A
Got It!,5.541,6.78,70,N/A,2010,1.80,2,8,20,20,6,Family,N/A
The Zorro Dice Game,5.541,6.03,202,N/A,2020,1.00,2,6,15,30,13,N/A,N/A
Major Battles and Campaigns of General George S. Patton,5.541,6.47,91,N/A,1973,1.80,2,2,30,30,12,Wargames,N/A
Shiftago,5.541,7.48,46,N/A,2016,2.00,2,4,1,45,8,Abstract,N/A
Unlur,5.541,7.52,42,N/A,2002,3.00,2,2,20,20,N/A,Abstract,N/A
Auf Fotosafari in Ombagassa,5.541,6.85,64,N/A,1985,1.00,3,6,60,60,8,N/A,N/A
Krosmaster: Arena – Duel Pack 2,5.541,7.02,64,33.24,2014,1.00,2,2,10,10,10,N/A,N/A
I am a banana,5.541,6.53,98,N/A,2020,1.00,4,8,20,20,N/A,N/A,N/A
Chinagold,5.541,5.85,274,N/A,2004,2.28,2,2,30,30,8,Abstract,N/A
Rainbow Pirates,5.541,6.46,140,N/A,2020,1.33,2,5,15,60,7,N/A,N/A
"Boom, Bang, Gold",5.541,6.15,164,N/A,2017,1.17,2,4,20,20,7,N/A,N/A
Video Game High School,5.541,6.31,157,N/A,2014,2.00,2,4,30,30,7,N/A,N/A
UNDO: Treasure Fever,5.541,6.01,180,N/A,2019,1.00,2,6,45,90,10,N/A,N/A
Lost Empires: War for the New Sun,5.541,7.43,51,N/A,2022,2.50,2,2,30,30,14,N/A,N/A
Five Seals of Magic,5.541,6.01,250,N/A,2014,2.43,2,5,60,60,8,N/A,N/A
Linkto Food,5.541,6.28,136,11.99,2018,1.40,1,10,30,45,10,N/A,N/A
A Mighty Fortress,5.541,6.34,116,N/A,1977,3.25,6,6,240,240,14,Strategy,Wargames
Monsieur Carrousel,5.541,6.74,80,N/A,2019,1.00,1,6,15,15,4,Children's,N/A
Buraco,5.541,6.43,90,N/A,N/A,2.00,2,4,60,60,N/A,N/A,N/A
"Legion: Tactical Warfare in the Roman Age, 100BC-700AD",5.541,6.64,84,N/A,1975,2.44,2,2,180,180,12,Wargames,N/A
Block Party,5.541,6.77,72,N/A,2023,1.00,2,6,15,20,8,N/A,N/A
Coffee,5.541,7.02,67,N/A,2011,2.71,2,2,20,20,6,Abstract,N/A
Times,5.541,6.58,79,N/A,1992,2.22,2,5,45,45,10,N/A,N/A
Timeline: España,5.541,6.9,63,N/A,2020,0.00,2,8,15,15,8,N/A,N/A
Taiwan Formosa,5.541,6.71,82,N/A,2018,2.67,2,5,50,60,10,N/A,N/A
Froggies,5.541,6.59,87,18.59,2021,1.00,2,4,20,20,5,N/A,N/A
Junkyard Races,5.541,6.14,148,N/A,2003,2.18,2,8,120,120,10,N/A,N/A
Darkest December: Battle of the Bulge 1944,5.541,7.51,53,N/A,2004,3.78,2,2,180,180,12,Wargames,N/A
